Date, Temperature,Relat_Humid,Wind_Speed ,Solar Radi,Surf_Out_ Temp
2017-01-01,-1.94158764,83.5,0.260091985,0,-3.847365308
2017-01-01,-2.558254307,84,0.208073588,0,-4.470204632
2017-01-01,-3.174920973,84.5,0.156055191,0,-5.097394123
2017-01-01,-3.79158764,85,0.104036794,0,-5.74995151
2017-01-01,-4.408254307,85.5,0.052018397,0,-6.423034693
2017-01-01,-5.024920973,86,0,0,-7.259762283
2017-01-01,-5.024920973,86,0,0,-7.127655984
2017-01-01,-5.024920973,86,0,0,-7.148869282
2017-01-01,-5.024920973,86,0,0,-7.13823909
2017-01-01,-5.024920973,86,0,0,-7.139087283
2017-01-01,-5.024920973,86,0,0,-7.17116771
2017-01-01,-5.024920973,86,0,0,-7.161883503
2017-01-01,-4.424920973,86.16666667,0.052018397,0,-6.329130608
2017-01-01,-3.824920973,86.33333333,0.104036794,0,-5.687695759
2017-01-01,-3.224920973,86.5,0.156055191,0,-5.055979182
2017-01-01,-2.624920973,86.66666667,0.208073588,0,-4.452619752
2017-01-01,-2.024920973,86.83333333,0.260091985,0,-3.825766998
2017-01-01,-1.424920973,87,0.312110381,0,-3.210147281
2017-01-02,-2.024920973,86.83333333,0.312110381,0,-4.112669554
2017-01-02,-2.624920973,86.66666667,0.312110381,0,-4.657999349
2017-01-02,-3.224920973,86.5,0.312110381,0,-5.261919087
2017-01-02,-3.824920973,86.33333333,0.312110381,0,-5.868282039
2017-01-02,-4.424920973,86.16666667,0.312110381,0,-6.444607852
2017-01-02,-5.024920973,86,0.312110381,0,-7.022704101
2017-01-02,-5.024920973,86,0.260091985,0,-6.978469829
2017-01-02,-5.024920973,86,0.208073588,0,-7.025982211
2017-01-02,-5.024920973,86,0.156055191,0,-7.043182925
2017-01-02,-5.024920973,86,0.104036794,0,-7.072066308
2017-01-02,-5.024920973,86,0.052018397,0,-7.005743082
2017-01-02,-5.024920973,86,0,0,-7.212692225
2017-01-02,-4.44158764,85.5,0.052018397,0,-6.392750283
2017-01-02,-3.858254307,85,0.104036794,0,-5.777166544
2017-01-02,-3.274920973,84.5,0.156055191,0,-5.163141556
2017-01-02,-2.69158764,84,0.208073588,0,-4.55125159
2017-01-02,-2.108254307,83.5,0.260091985,0,-3.951865589
2017-01-02,-1.524920973,83,0.312110381,0,-3.369037859
2017-01-02,-1.474920973,83,0.312110381,0,-3.336601606
2017-01-02,-1.424920973,83,0.312110381,0,-3.258908227
2017-01-02,-1.374920973,83,0.312110381,0,-3.178820909
2017-01-02,-1.324920973,83,0.312110381,0,-3.105601365
2017-01-02,-1.274920973,83,0.312110381,0,-3.037870887
2017-01-02,-1.224920973,83,0.312110381,0,-2.973835439
2017-01-02,-1.008254307,83.16666667,0.312110381,0,-2.701829761
2017-01-02,-0.79158764,83.33333333,0.312110381,0,-2.443848312
2017-01-02,-0.574920973,83.5,0.312110381,0,-2.191158479
2017-01-02,-0.358254307,83.66666667,0.312110381,0,-1.942996118
2017-01-02,-0.14158764,83.83333333,0.312110381,0,-1.697819622
2017-01-02,0.075079027,84,0.312110381,0,-1.43944451
2017-01-02,-0.058254307,84.33333333,0.312110381,0,-1.522994452
2017-01-02,-0.19158764,84.66666667,0.312110381,0,-1.602155924
2017-01-02,-0.324920973,85,0.312110381,0,-1.656719515
2017-01-02,-0.458254307,85.33333333,0.312110381,0,-1.722443657
2017-01-02,-0.59158764,85.66666667,0.312110381,0,-1.776328865
2017-01-02,-0.724920973,86,0.312110381,0,-1.853842488
2017-01-02,-0.74158764,85.5,0.312110381,0,-1.861658832
2017-01-02,-0.758254307,85,0.312110381,0,-1.831652562
2017-01-02,-0.774920973,84.5,0.312110381,0,-1.887873676
2017-01-02,-0.79158764,84,0.312110381,0,-1.899695231
2017-01-02,-0.808254307,83.5,0.312110381,0,-1.920343858
2017-01-02,-0.824920973,83,0.312110381,0,-1.940032393
2017-01-02,-0.808254307,83,0.312110381,0,-1.911791321
2017-01-02,-0.79158764,83,0.312110381,0,-1.858824883
2017-01-02,-0.774920973,83,0.312110381,0,-1.861876381
2017-01-02,-0.758254307,83,0.312110381,0,-1.835537499
2017-01-02,-0.74158764,83,0.312110381,17.85902814,0.749458466
2017-01-02,-0.724920973,83,0.312110381,23.88458214,1.776290921
2017-01-02,-0.574920973,82.5,0.312110381,24.39107904,1.90336922
2017-01-02,-0.424920973,82,0.312110381,28.14052258,2.590647156
2017-01-02,-0.274920973,81.5,0.312110381,31.26712734,3.120356328
2017-01-02,-0.124920973,81,0.312110381,38.80997349,4.296126726
2017-01-02,0.025079027,80.5,0.312110381,46.24672494,5.32708953
2017-01-02,0.175079027,80,0.312110381,53.66255485,6.350881507
2017-01-02,0.30841236,81,0.260091985,61.10752221,7.403539154
2017-01-02,0.441745693,82,0.208073588,68.6120349,8.457261702
2017-01-02,0.575079027,83,0.156055191,76.50324373,9.566550305
2017-01-02,0.70841236,84,0.104036794,82.23249069,10.39569789
2017-01-02,0.841745693,85,0.052018397,88.03749488,11.32508442
2017-01-02,0.975079027,86,0,93.91715644,12.50639183
2017-01-02,1.141745693,85,0,99.87180708,13.24638034
2017-01-02,1.30841236,84,0,105.9030063,14.07948312
2017-01-02,1.475079027,83,0,112.0134712,14.89342034
2017-01-02,1.641745693,82,0,121.2938352,16.11064843
2017-01-02,1.80841236,81,0,130.7779318,17.25113988
2017-01-02,1.975079027,80,0,140.4553986,18.41307753
2017-01-02,2.475079027,77.5,0.104036794,150.3173222,18.3622379
2017-01-02,2.975079027,75,0.208073588,160.3564304,19.4248723
2017-01-02,3.475079027,72.5,0.312110381,170.5673749,20.40402299
2017-01-02,3.975079027,70,0.416147175,175.6391568,20.91266036
2017-01-02,4.475079027,67.5,0.520183969,180.8322144,21.55552465
2017-01-02,4.975079027,65,0.624220763,186.1302889,22.20982357
2017-01-02,5.141745693,65.16666667,1.050771618,191.5211157,21.85978523
2017-01-02,5.30841236,65.33333333,1.477322472,214.4885442,23.42907957
2017-01-02,5.475079027,65.5,1.903873327,220.0682799,23.22584473
2017-01-02,5.641745693,65.66666667,2.330424182,217.2190629,22.66834359
2017-01-02,5.80841236,65.83333333,2.756975037,214.3826987,22.23833734
2017-01-02,5.975079027,66,3.183525891,211.5606656,21.85006951
2017-01-02,5.975079027,66.83333333,3.183525891,191.4827799,20.31899187
2017-01-02,5.975079027,67.66666667,3.183525891,188.879008,20.29752123
2017-01-02,5.975079027,68.5,3.183525891,186.3579597,20.10295124
2017-01-02,5.975079027,69.33333333,3.183525891,205.186695,21.64038338
2017-01-02,5.975079027,70.16666667,3.183525891,207.0418359,21.59321833
2017-01-02,5.975079027,71,3.183525891,208.790089,21.74334892
2017-01-02,6.291745693,67.16666667,3.131507494,210.4147958,22.21200454
2017-01-02,6.60841236,63.33333333,3.079489097,211.9034092,22.62945044
2017-01-02,6.925079027,59.5,3.027470701,213.2482702,23.04261852
2017-01-02,7.241745693,55.66666667,2.975452304,196.7643545,22.03721872
2017-01-02,7.55841236,51.83333333,2.923433907,180.5456645,21.21189697
2017-01-02,7.875079027,48,2.87141551,164.6217603,20.36761907
2017-01-02,7.741745693,50,2.767378716,149.0219398,19.1306791
2017-01-02,7.60841236,52,2.663341922,133.775054,17.93787347
2017-01-02,7.475079027,54,2.559305128,107.0941289,15.73187531
2017-01-02,7.341745693,56,2.455268334,92.1474881,14.56715736
2017-01-02,7.20841236,58,2.351231541,77.11271347,13.25689124
2017-01-02,7.075079027,60,2.247194747,62.69918707,11.97120672
2017-01-02,6.891745693,62.66666667,2.143157953,48.55442996,10.60358979
2017-01-02,6.70841236,65.33333333,2.039121159,34.69364664,9.210927549
2017-01-02,6.525079027,68,1.935084365,21.2037299,7.786712239
2017-01-02,6.341745693,70.66666667,1.831047571,17.55842978,7.313741074
2017-01-02,6.15841236,73.33333333,1.727010778,14.04754839,6.791882694
2017-01-02,5.975079027,76,1.622973984,10.25423727,6.225512721
2017-01-02,6.041745693,74.33333333,1.508533511,6.515327593,5.827580019
2017-01-02,6.10841236,72.66666667,1.394093037,2.94927749,5.465250117
